model,pca_components,accuracy,macro_f1,model_group
PCA + SVM,12.0,0.9692671394799054,0.9685226726501296,PCA + SVM
PCA + Logistic Regression,12.0,0.933806146572104,0.9318030671616836,PCA + LR
Random Forest,,0.9787234042553192,0.9783355318458284,Random Forest
SVM,,0.9574468085106383,0.95622739096659,KBest Models
LogisticRegression,,0.9550827423167848,0.953645124472986,KBest Models
